Ticker,Date/Time,OtC_Pct
EEM,24/08/2022,-0.0079
EEM,25/08/2022,-0.0107
EEM,26/08/2022,0.0222
EEM,29/08/2022,0.0018
EEM,30/08/2022,0.0150
EEM,31/08/2022,0.0060
EEM,01/09/2022,-0.0018
EEM,02/09/2022,0.0074
EEM,06/09/2022,0.0083
EEM,07/09/2022,-0.0136
EEM,08/09/2022,-0.0050
EEM,09/09/2022,-0.0057
EEM,12/09/2022,-0.0053
EEM,13/09/2022,0.0116
EEM,14/09/2022,0.0013
EEM,15/09/2022,0.0034
EEM,16/09/2022,-0.0003
EEM,19/09/2022,-0.0115
EEM,20/09/2022,0.0008
EEM,21/09/2022,0.0109
EEM,22/09/2022,0.0043
EEM,23/09/2022,0.0064
EEM,26/09/2022,0.0062
EEM,27/09/2022,0.0078
EEM,28/09/2022,-0.0153
EEM,29/09/2022,0.0048
EEM,30/09/2022,0.0011
EEM,03/10/2022,-0.0094
EEM,04/10/2022,-0.0113
EEM,05/10/2022,-0.0033
EEM,06/10/2022,0.0027
EEM,07/10/2022,0.0116
EEM,10/10/2022,0.0076
EEM,11/10/2022,0.0049
EEM,12/10/2022,-0.0003
EEM,13/10/2022,-0.0290
EEM,14/10/2022,0.0212
EEM,17/10/2022,-0.0069
EEM,18/10/2022,0.0093
EEM,19/10/2022,0.0026
EEM,20/10/2022,0.0009
EEM,21/10/2022,-0.0176
EEM,24/10/2022,0.0012
EEM,25/10/2022,-0.0068
EEM,26/10/2022,-0.0134
EEM,27/10/2022,0.0009
EEM,28/10/2022,-0.0076
EEM,31/10/2022,-0.0080
EEM,01/11/2022,0.0080
EEM,02/11/2022,0.0106
EEM,03/11/2022,-0.0125
EEM,04/11/2022,-0.0047
EEM,07/11/2022,0.0058
EEM,08/11/2022,-0.0052
EEM,09/11/2022,0.0099
EEM,10/11/2022,-0.0090
EEM,11/11/2022,-0.0077
EEM,14/11/2022,0.0005
EEM,15/11/2022,0.0082
EEM,16/11/2022,0.0075
EEM,17/11/2022,-0.0203
EEM,18/11/2022,0.0029
ETH-USD,02/09/2022,0.0055
ETH-USD,03/09/2022,0.0129
ETH-USD,04/09/2022,-0.0133
ETH-USD,05/09/2022,-0.0249
ETH-USD,06/09/2022,0.0343
ETH-USD,07/09/2022,-0.0442
ETH-USD,08/09/2022,-0.0034
ETH-USD,09/09/2022,-0.0513
ETH-USD,10/09/2022,-0.0333
ETH-USD,11/09/2022,0.0080
ETH-USD,12/09/2022,0.0274
ETH-USD,13/09/2022,0.0777
ETH-USD,14/09/2022,-0.0380
ETH-USD,15/09/2022,0.0999
ETH-USD,16/09/2022,0.0268
ETH-USD,17/09/2022,-0.0257
ETH-USD,18/09/2022,0.0914
ETH-USD,19/09/2022,-0.0317
ETH-USD,20/09/2022,0.0386
ETH-USD,21/09/2022,0.0541
ETH-USD,22/09/2022,-0.0608
ETH-USD,23/09/2022,-0.0006
ETH-USD,24/09/2022,0.0077
ETH-USD,25/09/2022,0.0180
ETH-USD,26/09/2022,-0.0316
ETH-USD,27/09/2022,0.0039
ETH-USD,28/09/2022,-0.0059
ETH-USD,29/09/2022,0.0014
ETH-USD,30/09/2022,0.0057
ETH-USD,01/10/2022,0.0125
ETH-USD,02/10/2022,0.0272
ETH-USD,03/10/2022,-0.0370
ETH-USD,04/10/2022,-0.0294
ETH-USD,05/10/2022,0.0067
ETH-USD,06/10/2022,0.0008
ETH-USD,07/10/2022,0.0143
ETH-USD,08/10/2022,0.0127
ETH-USD,09/10/2022,-0.0054
ETH-USD,10/10/2022,0.0237
ETH-USD,11/10/2022,0.0089
ETH-USD,12/10/2022,-0.0119
ETH-USD,13/10/2022,0.0053
ETH-USD,14/10/2022,-0.0073
ETH-USD,15/10/2022,0.0173
ETH-USD,16/10/2022,-0.0245
ETH-USD,17/10/2022,-0.0194
ETH-USD,18/10/2022,0.0159
ETH-USD,19/10/2022,0.0189
ETH-USD,20/10/2022,0.0019
ETH-USD,21/10/2022,-0.0131
ETH-USD,22/10/2022,-0.0111
ETH-USD,23/10/2022,-0.0374
ETH-USD,24/10/2022,0.0136
ETH-USD,25/10/2022,-0.0870
ETH-USD,26/10/2022,-0.0722
ETH-USD,27/10/2022,0.0335
ETH-USD,28/10/2022,-0.0272
ETH-USD,29/10/2022,-0.0414
ETH-USD,30/10/2022,0.0179
ETH-USD,31/10/2022,0.0112
ETH-USD,01/11/2022,-0.0045
ETH-USD,02/11/2022,0.0379
ETH-USD,03/11/2022,-0.0078
ETH-USD,04/11/2022,-0.0742
ETH-USD,05/11/2022,0.0104
ETH-USD,06/11/2022,0.0342
ETH-USD,07/11/2022,0.0022
ETH-USD,08/11/2022,0.1502
ETH-USD,09/11/2022,0.1747
ETH-USD,10/11/2022,-0.1812
ETH-USD,11/11/2022,0.0090
ETH-USD,12/11/2022,0.0250
ETH-USD,13/11/2022,0.0268
ETH-USD,14/11/2022,-0.0161
ETH-USD,15/11/2022,-0.0081
ETH-USD,16/11/2022,0.0289
ETH-USD,17/11/2022,0.0124
ETH-USD,18/11/2022,-0.0096
ETH-USD,19/11/2022,-0.0051
ETH-USD,20/11/2022,-0.0011
GLD,29/07/2022,-0.0013
GLD,01/08/2022,-0.0003
GLD,02/08/2022,0.0097
GLD,03/08/2022,0.0019
GLD,04/08/2022,-0.0099
GLD,05/08/2022,-0.0018
GLD,08/08/2022,-0.0040
GLD,09/08/2022,0.0017
GLD,10/08/2022,0.0036
GLD,11/08/2022,0.0049
GLD,12/08/2022,-0.0042
GLD,15/08/2022,0.0017
GLD,16/08/2022,-0.0007
GLD,17/08/2022,0.0052
GLD,18/08/2022,0.0041
GLD,19/08/2022,0.0057
GLD,22/08/2022,0.0001
GLD,23/08/2022,-0.0050
GLD,24/08/2022,-0.0050
GLD,25/08/2022,0.0013
GLD,26/08/2022,0.0083
GLD,29/08/2022,0.0001
GLD,30/08/2022,0.0047
GLD,31/08/2022,0.0014
GLD,01/09/2022,0.0019
GLD,02/09/2022,0.0006
GLD,06/09/2022,0.0053
GLD,07/09/2022,-0.0113
GLD,08/09/2022,0.0035
GLD,09/09/2022,-0.0006
GLD,12/09/2022,0.0025
GLD,13/09/2022,-0.0004
GLD,14/09/2022,0.0047
GLD,15/09/2022,0.0114
GLD,16/09/2022,-0.0076
GLD,19/09/2022,-0.0070
GLD,20/09/2022,-0.0003
GLD,21/09/2022,0.0012
GLD,22/09/2022,0.0036
GLD,23/09/2022,0.0058
GLD,26/09/2022,0.0130
GLD,27/09/2022,0.0047
GLD,28/09/2022,-0.0097
GLD,29/09/2022,-0.0034
GLD,30/09/2022,0.0017
GLD,03/10/2022,-0.0192
GLD,04/10/2022,-0.0095
GLD,05/10/2022,-0.0031
GLD,06/10/2022,-0.0014
GLD,07/10/2022,0.0037
GLD,10/10/2022,0.0029
GLD,11/10/2022,0.0021
GLD,12/10/2022,-0.0031
GLD,13/10/2022,-0.0093
GLD,14/10/2022,0.0068
GLD,17/10/2022,0.0097
GLD,18/10/2022,0.0021
GLD,19/10/2022,0.0026
GLD,20/10/2022,0.0031
GLD,21/10/2022,-0.0143
GLD,24/10/2022,-0.0013
GLD,25/10/2022,-0.0003
GLD,26/10/2022,-0.0013
GLD,27/10/2022,-0.0002
GLD,28/10/2022,-0.0013
GLD,31/10/2022,0.0016
GLD,01/11/2022,0.0023
GLD,02/11/2022,0.0115
GLD,03/11/2022,-0.0074
GLD,04/11/2022,-0.0098
GLD,07/11/2022,0.0024
GLD,08/11/2022,-0.0222
GLD,09/11/2022,0.0045
GLD,10/11/2022,-0.0091
GLD,11/11/2022,-0.0040
GLD,14/11/2022,-0.0044
GLD,15/11/2022,-0.0014
GLD,16/11/2022,0.0018
GLD,17/11/2022,-0.0008
GLD,18/11/2022,0.0036
IGM,29/07/2022,-0.0127
IGM,01/08/2022,-0.0066
IGM,02/08/2022,-0.0060
IGM,03/08/2022,-0.0219
IGM,04/08/2022,-0.0060
IGM,05/08/2022,-0.0137
IGM,08/08/2022,0.0061
IGM,09/08/2022,0.0060
IGM,10/08/2022,-0.0071
IGM,11/08/2022,0.0138
IGM,12/08/2022,-0.0129
IGM,15/08/2022,-0.0099
IGM,16/08/2022,-0.0023
IGM,17/08/2022,0.0029
IGM,18/08/2022,-0.0065
IGM,19/08/2022,0.0130
IGM,22/08/2022,0.0128
IGM,23/08/2022,0.0002
IGM,24/08/2022,-0.0030
IGM,25/08/2022,-0.0177
IGM,26/08/2022,0.0417
IGM,29/08/2022,0.0026
IGM,30/08/2022,0.0164
IGM,31/08/2022,0.0176
IGM,01/09/2022,-0.0048
IGM,02/09/2022,0.0235
IGM,06/09/2022,0.0083
IGM,07/09/2022,-0.0182
IGM,08/09/2022,-0.0155
IGM,09/09/2022,-0.0159
IGM,12/09/2022,-0.0077
IGM,13/09/2022,0.0238
IGM,14/09/2022,-0.0008
IGM,15/09/2022,0.0113
IGM,16/09/2022,-0.0040
IGM,19/09/2022,-0.0168
IGM,20/09/2022,0.0018
IGM,21/09/2022,0.0198
IGM,22/09/2022,0.0073
IGM,23/09/2022,0.0041
IGM,26/09/2022,0.0043
IGM,27/09/2022,0.0123
IGM,28/09/2022,-0.0225
IGM,29/09/2022,0.0075
IGM,30/09/2022,0.0108
IGM,03/10/2022,-0.0204
IGM,04/10/2022,-0.0155
IGM,05/10/2022,-0.0171
IGM,06/10/2022,0.0015
IGM,07/10/2022,0.0208
IGM,10/10/2022,0.0172
IGM,11/10/2022,0.0109
IGM,12/10/2022,0.0015
IGM,13/10/2022,-0.0528
IGM,14/10/2022,0.0382
IGM,17/10/2022,-0.0114
IGM,18/10/2022,0.0169
IGM,19/10/2022,-0.0033
IGM,20/10/2022,-0.0023
IGM,21/10/2022,-0.0308
IGM,24/10/2022,-0.0052
IGM,25/10/2022,-0.0190
IGM,26/10/2022,-0.0023
IGM,27/10/2022,0.0133
IGM,28/10/2022,-0.0316
IGM,31/10/2022,0.0049
IGM,01/11/2022,0.0231
IGM,02/11/2022,0.0365
IGM,03/11/2022,0.0148
IGM,04/11/2022,0.0053
IGM,07/11/2022,-0.0093
IGM,08/11/2022,-0.0024
IGM,09/11/2022,0.0178
IGM,10/11/2022,-0.0324
IGM,11/11/2022,-0.0228
IGM,14/11/2022,-0.0003
IGM,15/11/2022,0.0082
IGM,16/11/2022,0.0078
IGM,17/11/2022,-0.0117
IGM,18/11/2022,0.0132
MCHI,29/07/2022,-0.0002
MCHI,01/08/2022,0.0006
MCHI,02/08/2022,-0.0129
MCHI,03/08/2022,-0.0086
MCHI,04/08/2022,0.0034
MCHI,05/08/2022,-0.0036
MCHI,08/08/2022,0.0049
MCHI,09/08/2022,0.0049
MCHI,10/08/2022,-0.0053
MCHI,11/08/2022,-0.0036
MCHI,12/08/2022,-0.0138
MCHI,15/08/2022,-0.0026
MCHI,16/08/2022,-0.0032
MCHI,17/08/2022,0.0000
MCHI,18/08/2022,0.0055
MCHI,19/08/2022,0.0039
MCHI,22/08/2022,-0.0031
MCHI,23/08/2022,-0.0021
MCHI,24/08/2022,-0.0184
MCHI,25/08/2022,-0.0191
MCHI,26/08/2022,0.0278
MCHI,29/08/2022,0.0064
MCHI,30/08/2022,0.0173
MCHI,31/08/2022,0.0020
MCHI,01/09/2022,-0.0014
MCHI,02/09/2022,0.0102
MCHI,06/09/2022,0.0106
MCHI,07/09/2022,-0.0131
MCHI,08/09/2022,-0.0027
MCHI,09/09/2022,-0.0023
MCHI,12/09/2022,-0.0093
MCHI,13/09/2022,0.0090
MCHI,14/09/2022,-0.0015
MCHI,15/09/2022,0.0025
MCHI,16/09/2022,0.0054
MCHI,19/09/2022,-0.0103
MCHI,20/09/2022,0.0024
MCHI,21/09/2022,0.0169
MCHI,22/09/2022,0.0085
MCHI,23/09/2022,0.0011
MCHI,26/09/2022,0.0068
MCHI,27/09/2022,0.0107
MCHI,28/09/2022,-0.0195
MCHI,29/09/2022,0.0012
MCHI,30/09/2022,-0.0045
MCHI,03/10/2022,-0.0049
MCHI,04/10/2022,-0.0192
MCHI,05/10/2022,-0.0011
MCHI,06/10/2022,0.0032
MCHI,07/10/2022,0.0097
MCHI,10/10/2022,0.0133
MCHI,11/10/2022,0.0093
MCHI,12/10/2022,-0.0017
MCHI,13/10/2022,-0.0269
MCHI,14/10/2022,0.0294
MCHI,17/10/2022,-0.0064
MCHI,18/10/2022,0.0166
MCHI,19/10/2022,0.0160
MCHI,20/10/2022,-0.0023
MCHI,21/10/2022,-0.0150
MCHI,24/10/2022,0.0131
MCHI,25/10/2022,-0.0011
MCHI,26/10/2022,-0.0323
MCHI,27/10/2022,0.0045
MCHI,28/10/2022,-0.0072
MCHI,31/10/2022,-0.0037
MCHI,01/11/2022,0.0167
MCHI,02/11/2022,0.0082
MCHI,03/11/2022,-0.0249
MCHI,04/11/2022,-0.0025
MCHI,07/11/2022,0.0112
MCHI,08/11/2022,-0.0062
MCHI,09/11/2022,0.0151
MCHI,10/11/2022,-0.0115
MCHI,11/11/2022,-0.0045
MCHI,14/11/2022,0.0060
