Ticker,Date/Time,SIGNAL_MACD,MA_RSI,Close-To_Mid,Price
SET50,30/03/2012,16.70,70.84,79.71,842.91
SET50,05/04/2012,18.31,70.39,65.80,831.74
SET50,12/04/2012,19.47,69.62,55.52,821.45
SET50,20/04/2012,20.43,68.83,70.03,839.45
SET50,27/04/2012,21.29,68.31,68.91,850.11
SET50,04/05/2012,22.12,68.13,80.73,861.93
SET50,11/05/2012,22.54,66.84,36.71,833.65
SET50,18/05/2012,22.34,64.78,9.77,806.71
SET50,25/05/2012,21.48,61.12,-14.22,786.87
SET50,01/06/2012,20.03,56.47,-28.70,772.39
SET50,08/06/2012,18.34,51.99,-17.41,783.68
SET50,15/06/2012,16.86,50.70,4.82,812.56
SET50,22/06/2012,15.41,50.33,-14.25,800.07
SET50,29/06/2012,14.16,51.49,-6.20,814.38
SET50,06/07/2012,13.30,54.04,13.36,833.94
SET50,13/07/2012,12.77,56.32,21.01,841.59
SET50,20/07/2012,12.41,57.08,16.41,836.99
SET50,27/07/2012,11.88,57.16,-8.22,812.36
SET50,03/08/2012,11.38,57.20,4.89,825.47
SET50,10/08/2012,11.08,57.13,20.92,841.50
SET50,17/08/2012,10.92,56.87,23.15,843.73
SET50,24/08/2012,10.90,57.13,30.02,850.60
SET50,31/08/2012,10.85,58.07,19.74,840.32
SET50,07/09/2012,10.88,58.95,31.37,851.95
SET50,14/09/2012,11.19,60.07,54.23,874.81
SET50,21/09/2012,11.67,61.25,58.27,878.85
SET50,28/09/2012,12.31,62.43,65.19,886.58
SET50,05/10/2012,13.03,64.35,65.01,889.77
SET50,12/10/2012,13.62,65.00,52.16,879.31
SET50,19/10/2012,14.16,65.09,59.61,886.76
SET50,26/10/2012,14.38,63.65,39.83,866.98
SET50,02/11/2012,14.54,62.68,40.35,883.54
SET50,09/11/2012,14.52,60.91,29.98,873.17
SET50,16/11/2012,14.27,59.52,23.74,867.07
SET50,23/11/2012,13.88,57.95,19.19,869.72
SET50,30/11/2012,13.72,59.08,48.28,898.81
